52.97s, 3, red, Exit
53.00s, 4, red, Entry
53.13s, 3, red, Exit
53.17s, 4, red, Entry
53.23s, 3, red, Exit
53.43s, 4, red, Entry
53.50s, 3, red, Exit
53.80s, 4, red, Entry
53.83s, 3, red, Exit
54.00s, 4, red, Entry
54.07s, 3, red, Exit
54.13s, 4, red, Entry
54.20s, 3, red, Exit
54.23s, 4, red, Entry
54.30s, 3, red, Exit
54.33s, 4, red, Entry
54.40s, 3, red, Exit
54.77s, 4, red, Entry
55.13s, 3, red, Exit
55.17s, 4, red, Entry
55.40s, 3, red, Exit
55.43s, 4, red, Entry
55.47s, 3, red, Exit
55.63s, 4, red, Entry
55.90s, 3, red, Exit
55.93s, 4, red, Entry
56.00s, 3, red, Exit
56.07s, 4, red, Entry
56.23s, 3, red, Exit
56.27s, 4, red, Entry
56.40s, 3, red, Exit
56.43s, 4, red, Entry
56.77s, 3, red, Exit
56.87s, 4, red, Entry
56.93s, 3, red, Exit
56.97s, 4, red, Entry
57.13s, 3, red, Exit
57.20s, 4, red, Entry
57.23s, 3, red, Exit
57.37s, 4, red, Entry
57.57s, 3, red, Exit
57.63s, 4, red, Entry
57.73s, 3, red, Exit
57.77s, 4, red, Entry
57.80s, 3, red, Exit
57.90s, 4, red, Entry
57.97s, 3, red, Exit
58.30s, 4, red, Entry
58.63s, 3, red, Exit
58.87s, 4, red, Entry
58.93s, 3, red, Exit
58.97s, 4, red, Entry
59.03s, 3, red, Exit
59.07s, 4, red, Entry
59.10s, 3, red, Exit
59.13s, 4, red, Entry
59.23s, 3, red, Exit
61.33s, 4, red, Entry
61.37s, 3, red, Exit
61.63s, 4, red, Entry
61.67s, 3, red, Exit
61.83s, 4, red, Entry
61.87s, 3, red, Exit
62.03s, 4, red, Entry
62.07s, 3, red, Exit
62.10s, 4, red, Entry
62.17s, 3, red, Exit
62.20s, 4, red, Entry
62.23s, 3, red, Exit
62.27s, 4, red, Entry
62.50s, 3, red, Exit
62.60s, 4, red, Entry
62.63s, 3, red, Exit
62.87s, 4, red, Entry
62.90s, 3, red, Exit
63.83s, 4, red, Entry
63.97s, 3, red, Exit
64.10s, 4, red, Entry
64.13s, 3, red, Exit
64.27s, 4, red, Entry
64.30s, 3, red, Exit
64.33s, 4, red, Entry
64.37s, 3, red, Exit
64.40s, 4, red, Entry
65.03s, 3, red, Exit
65.07s, 4, red, Entry
65.10s, 3, red, Exit
65.23s, 4, red, Entry
65.27s, 3, red, Exit
65.30s, 4, red, Entry
65.33s, 3, red, Exit
65.50s, 4, red, Entry
65.53s, 3, red, Exit
65.93s, 4, red, Entry
66.03s, 3, red, Exit
66.10s, 4, red, Entry
66.17s, 3, red, Exit
66.20s, 4, red, Entry
66.27s, 3, red, Exit
66.30s, 4, red, Entry
66.40s, 3, red, Exit
66.43s, 4, red, Entry
66.53s, 3, red, Exit
66.67s, 4, red, Entry
66.80s, 3, red, Exit
66.80s, 2, blue, Exit
66.87s, 4, blue, Entry
67.03s, 2, blue, Exit
67.07s, 4, blue, Entry
67.10s, 4, red, Entry
67.17s, 3, red, Exit
